age,gender,Mstatus,gradStud,trans,Flang ,Haddress,Hestatus,Plive,Fsize,Fsupport,Osupport,Medu,Fedu, Fjob,Mjob,Rclass,EIRR,PCGA,CCmember,OCmember,Mactivity,Dactivity,Aconsum,Efriend,Srec,Sother,Eresult,Hresult,Presult,gpa,tutor,Itutor,absent,Alab,Fread,Gstudy,Gwork,labInf ,IntUse,handout,refbook,lecture,internet,Edevice,advisor,uniInterest,progInterest,uniLike,deptLike
20 – 23,Male,Divorced,Yes,No,Amharic,Urban,Good,No,large,No,No,Primary education,Primary education,Merchant,Teacher,Supportive,No,Never,Never,Never,Never,Never,Medium,High,Low,Medium,70-84,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Sometimes,Never,5_6,Medium,Medium,Yes,Sometimes,No,No,Yes,No,No,Sometimes,No,No,Yes,Yes
24 – 29,Male,Single,Yes,No,Tigrigna,Rural,Good,Yes,medium,Yes,No,Secondary education,Primary education,Merchant,Merchant,Friendly,Yes,Occasionally,Occasionally,Never,Often,Often,Medium,High,Low,Very High,70-84,3.50- 4.00,400-449,2.50-2.99,No,Yes,Never,Sometimes,3_4,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Merchant,Merchant,Friendly,Yes,Occasionally,Never,Often,Never,Occasionally,Medium,Low,Low,Medium,70-84,3.50- 4.00,400-449,2.50-2.99,Yes,Yes,Sometimes,Never,1_2,Low,Low,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,No
24-29,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Other: specify ,Farmer,Housewife,Friendly,Yes,Often,Often,Very often,Occasionally,Often,Medium,Column 3,Column 3,Very High,Less than 55,3.50- 4.00,400-449,3.50- 4.00,Yes,Yes,Sometimes,Usually,5_6,High,High,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Usually,Yes,Yes,Yes,Yes
24-29,Male,Married,No,Yes,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Low,Medium,Column 3,Column 3,85 - 100,3.50- 4.00,600-649,3.50- 4.00,Yes,Yes,Sometimes,Always,5_6,Medium,Medium,No,Usually,Yes,No,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,small,Yes,No,Secondary education,Secondary education,Merchant,Housewife,Friendly,Yes,Never,Occasionally,Never,Often,Never,Low,Medium,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Always   ,3_4,Medium,Medium,No,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Separated,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Merchant,Merchant,Supportive,No,Occasionally,Often,Never,Never,Occasionally,Low,Low,Low,High,70-84,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Never,Sometimes,5_6,Low,Medium,Yes,Usually,No,No,Yes,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Bad,Yes,large,Yes,No,Secondary education,Primary education,Merchant,Merchant,Friendly,No,Never,Never,Never,Occasionally,Often,Medium,Low,Medium,Medium,70-84,3.00-3.49,400-449,3.00-3.49,Yes,No,Sometimes,Sometimes,3_4,Medium,Medium,Yes,Usually,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,small,Yes,Yes,Secondary education,Higher education,Teacher,Merchant,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Low,Low,Low,85-100,3.50- 4.00,400-449,2.50-2.99,Yes,Yes,Usually,Sometimes,3_4,Low,Medium,Yes,Always   ,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,neutral
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,small,Yes,No,Higher education,Higher education,Health care related,,Friendly,Yes,Occasionally,Occasionally,Never,Never,Occasionally,Low,Medium,Low,,70-84,3.00-3.49,450-499,3.00-3.49,No,No,Never,Sometimes,1_2,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,No,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,No,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Often,Very often,Never,Never,Low,Low,Low,Low,70-84,3.00-3.49,450-499,2.00-2.49,Yes,Yes,Never,Sometimes,3_4,Low,Medium,Yes,Never,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Often,Often,Never,Low,Medium,Medium,Medium,85-100,3.50- 4.00,450-499,3.00-3.49,Yes,Yes,Sometimes,Always   ,5_6,Low,High ,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,No,Yes,Yes
24 – 29,Male,Single,No,No,Amharic,Rural,Good,Yes,small,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Very often,Never,Low,Low,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Never,Always   ,1_2,Medium,Medium,No,Usually,Yes,No,No,No,No,Sometimes,Yes,Yes,Yes,Yes
24 – 29,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Medium,Medium,85-100,3.50- 4.00,450-499,3.50- 4.00,No,No,Never,Usually,7_8,Low,High ,Yes,Sometimes,Yes,No,Yes,No,Yes,Sometimes,No,No,No,No
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Never,Never,Never,Low,High,High,Medium,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Never,Never,>8 ,Medium,High ,No,Usually,No,No,No,Yes,Yes,Sometimes,Yes,Yes,neutral,Yes
Over 39,Female,Married,No,Yes,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Often,Occasionally,Often,Medium,Medium,Very High,Very High,Less than 55,3.00-3.49,450-499,3.50- 4.00,No,No,Never,Always   ,>8 ,Medium,High ,Yes,Always   ,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,No
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Often,Occasionally,Never,Low,Low,Low,High,55-69,2.50-2.99,400-449,3.00-3.49,Yes,No,Never,Never,3_4,Medium,High ,No,Sometimes,No,No,No,No,Yes,Never,No,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,medium,No,No,Primary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Never,Never,Occasionally,Low,Low,Low,Low,70-84,3.50- 4.00,500-549,3.50- 4.00,No,Yes,Never,Never,3_4,Medium,Medium,No,Sometimes,No,No,No,Yes,No,Sometimes,Yes,No,Yes,No
20 – 23,Female,Single,No,No,Amharic,Rural,Bad,Yes,medium,No,No,Primary education,Higher education,Merchant,Housewife,Uninvolved,No,Never,Never,Never,Never,Never,Low,Low,Medium,Medium,55-69,3.00-3.49,450-499,2.00-2.49,No,No,Never,Never,5_6,Medium,Medium,No,Sometimes,Yes,No,No,No,No,Never,Yes,No,Yes,No
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,No,Primary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Low,Low,70-84,3.00-3.49,450-499,2.50-2.99,No,No,Never,Usually,1_2,Medium,Medium,Yes,Never,No,Yes,No,No,Yes,Sometimes,Yes,No,No,No
20 – 23,Male,Married,No,No,Amharic,Rural,Bad,Yes,large,No,No,Secondary education,Primary education,Teacher,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Low,Very High,85-100,3.50- 4.00,400-449,3.00-3.49,No,No,Sometimes,Usually,1_2,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,No,No,No
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,Primary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Never,Very often,Never,Low,Low,Very High,Medium,70-84,3.00-3.49,450-499,2.50-2.99,No,No,Never,Usually,3_4,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,No,No,No,No
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Primary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Often,Often,Never,Low,Low,Medium,Medium,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Sometimes,Sometimes,5_6,Medium,High ,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,small,Yes,Yes,Primary education,Higher education,Teacher,Housewife,Friendly,No,Often,Occasionally,Occasionally,Never,Never,Low,Low,High,Medium,70-84,3.00-3.49,450-499,2.00-2.49,No,Yes,Sometimes,Sometimes,5_6,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,neutral,Yes
24 – 29,Male,Single,No,No,Amharic,Rural,Good,No,small,No,No,Primary education,Primary education,Health care related,Housewife,Friendly,No,Often,Occasionally,Very often,Occasionally,Never,Low,Low,Very High,Medium,85-100,3.50- 4.00,450-499,3.50- 4.00,No,Yes,Never,Always   ,3_4,Low,High ,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Occasionally,Never,Low,Medium,Medium,Low,55-69,3.00-3.49,400-449,2.00-2.49,No,No,Never,Always   ,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Tigrigna,Rural,Good,Yes,medium,Yes,No,Primary education,Primary education,Farmer,Housewife,Supportive,Yes,Never,Never,Never,Never,Never,Low,Medium,Low,High,70-84,2.50-2.99,Less than 350  ,3.00-3.49,Yes,Yes,Always   ,Sometimes,3_4,Low,Low,Yes,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,No,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Supportive,No,Never,Often,Never,Never,Never,Low,Low,Very High,Very High,85-100,3.00-3.49,Less than 350  ,3.00-3.49,No,Yes,Always   ,Always   ,5_6,Low,Medium,Yes,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,No,Yes
24 – 29,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Secondary education,Higher education,Farmer,Housewife,Friendly,No,Never,Never,Very often,Never,Never,Low,Low,Medium,Low,85-100,2.50-2.99,Less than 350  ,2.00-2.49,Yes,Yes,Never,Always   ,1_2,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Tigrigna,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Teacher,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Medium,High,Low,85-100,3.00-3.49,350-399,2.50-2.99,No,Yes,Sometimes,Always   ,1_2,Low,Medium,Yes,Sometimes,No,No,No,Yes,Yes,Never,Yes,Yes,neutral,neutral
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Secondary education,Primary education,Farmer,Teacher,Friendly,No,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Medium,Low,55-69,2.50-2.99,350-399,2.00-2.49,No,No,Never,Always   ,1_2,Medium,High ,Yes,Usually,Yes,No,No,No,No,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Married,No,No,Amharic,Urban,Good,Yes,medium,No,No,Secondary education,Primary education,Teacher,Merchant,Supportive,Yes,Never,Never,Never,Occasionally,Never,Low,Medium,Medium,Low,85-100,2.50-2.99,650 – 700,2.00-2.49,No,No,Sometimes,Usually,1_2,Low,Medium,No,Never,No,No,Yes,No,Yes,Never,Yes,Yes,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Secondary education,Primary education,Farmer,Merchant,Friendly,Yes,Never,Often,Occasionally,Often,Occasionally,Low,Medium,High,Low,55-69,2.50-2.99,400-449,3.50- 4.00,Yes,Yes,Never,Never,1_2,Low,Low,Yes,Never,No,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,Yes,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Farmer,Merchant,Friendly,Yes,Never,Never,Never,Occasionally,Occasionally,Low,Medium,High,Very High,85-100,2.50-2.99,600-649,3.00-3.49,Yes,No,Always   ,Always   ,3_4,High ,High ,Yes,Always   ,Yes,No,No,No,Yes,Always ,Yes,Yes,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Bad,Yes,large,Yes,No,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Often,Occasionally,Low,Medium,High,Very High,70-84,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Usually,1_2,Medium,Medium,Yes,Always   ,No,Yes,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Afaan Oromo,Urban,Good,Yes,medium,Yes,No,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Never,Occasionally,Low,Medium,Low,Very High,Less than 55,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Sometimes,Usually,1_2,High ,Medium,Yes,Always   ,No,Yes,No,No,Yes,Usually,Yes,No,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,No,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Occasionally,Occasionally,Low,Medium,Low,Very High,Less than 55,2.50-2.99,350-399,2.50-2.99,No,No,Usually,Always   ,1_2,Low,Medium,Yes,Sometimes,No,Yes,No,No,No,Always ,No,No,Yes,Yes
20 – 23,Female,Single,Yes,No,Afaan Oromo,Urban,Good,No,small,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Competitive,No,Occasionally,Never,Never,Occasionally,Occasionally,Low,Medium,Low,Very High,55-69,2.50-2.99,Less than 350  ,Less than 2.00,No,Yes,Never,Always   ,1_2,Low,Low,Yes,Sometimes,No,No,Yes,No,No,Sometimes,No,Yes,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Good,,large,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Competitive,Yes,Never,Never,Never,Occasionally,Occasionally,Low,Medium,Low,Very High,85-100,Less than 2.50,Less than 350  ,Less than 2.00,Yes,Yes,Usually,Sometimes,3_4,Low,Medium,Yes,Never,No,Yes,No,No,Yes,Sometimes,No,No,Yes,Yes
24 – 29,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,No,No,Primary education,Higher education,Farmer,Health care related,Friendly,Yes,Occasionally,Never,Occasionally,Occasionally,Never,Low,Medium,Low,Very High,70-84,3.00-3.49,Less than 350  ,3.50- 4.00,No,No,Usually,Sometimes,7_8,High ,Medium,No,Sometimes,No,Yes,No,No,Yes,Never,No,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,No,large,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Low,Very High,85-100,3.50- 4.00,500-549,3.00-3.49,Yes,No,Never,Sometimes,1_2,Low,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,No,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Supportive,Yes,Never,Occasionally,Never,Occasionally,Occasionally,Low,Medium,Low,Medium,70-84,3.00-3.49,600-649,3.00-3.49,No,No,Never,Sometimes,1_2,Low,Medium,No,Usually,No,Yes,No,No,No,Never,Yes,No,Yes,Yes
24 – 29,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Low,Medium,70-84,3.00-3.49,650 – 700,2.50-2.99,Yes,Yes,Never,Sometimes,1_2,Low,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Never,No,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,High,High,High,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Sometimes,5_6,Medium,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Supportive,Yes,Never,Occasionally,Never,Occasionally,Often,Medium,Low,Low,Medium,70-84,3.50- 4.00,400-449,3.50- 4.00,Yes,Yes,Sometimes,Never,5_6,Low,Low,No,Sometimes,Yes,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Teacher,Supportive,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Often,Medium,Medium,Medium,Medium,85-100,3.50- 4.00,550-599,3.50- 4.00,Yes,Yes,Sometimes,Usually,3_4,Low,Medium,Yes,Sometimes,No,No,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,No,not educated,Not educated,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Never,Never,Low,Medium,Medium,Medium,70-84,3.50- 4.00,550-599,3.50- 4.00,No,Yes,Never,Always   ,3_4,Medium,High ,Yes,Never,No,No,No,Yes,Yes,Usually,Yes,No,Yes,No
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Secondary education,Secondary education,Merchant,Housewife,Supportive,Yes,Never,Never,Never,Occasionally,Never,Medium,High,High,Medium,85-100,3.50- 4.00,450-499,2.50-2.99,Yes,No,Never,Usually,3_4,Medium,Low,Yes,Never,No,Yes,No,No,Yes,Sometimes,Yes,Yes,neutral,Yes
24 – 29,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,Yes,Occasionally,Occasionally,Often,Occasionally,Often,Medium,High,Very High,Medium,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Never,Never,1_2,Low,Medium,Yes,Sometimes,Yes,No,Yes,No,Yes,Never,No,No,neutral,neutral
20 – 23,Male,Married,No,Yes,Tigrigna,Urban,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Merchant,Supportive,Yes,Often,Often,Often,Often,Occasionally,Medium,High,High,Medium,70-84,3.00-3.49,500-549,3.00-3.49,Yes,Yes,Sometimes,Sometimes,1_2,Medium,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Divorced,No,No,Tigrigna,Urban,Bad,Yes,medium,Yes,Yes,Secondary education,Higher education,Merchant,Merchant,Sense of belonging,Yes,Occasionally,Occasionally,Occasionally,Never,Often,High,Medium,Medium,Low,70-84,3.50- 4.00,350-399,3.00-3.49,No,Yes,Sometimes,Sometimes,3_4,Low,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Married,No,No,Afaan Oromo,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Merchant,Health care related,Friendly,Yes,Never,Occasionally,Never,Never,Occasionally,Medium,High,High,High,70-84,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Never,Usually,3_4,Medium,Low,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,Yes,No,Amharic,Rural,Bad,Yes,medium,No,Yes,Primary education,Primary education,Farmer,Housewife,Sense of belonging,Yes,Never,Never,Occasionally,Never,Never,Low,Medium,High,Low,70-84,3.00-3.49,450-499,3.00-3.49,No,No,Sometimes,Always   ,1_2,Low,Low,Yes,Always   ,No,No,No,Yes,Yes,Never,Yes,No,Yes,Yes
20 – 23,Male,Married,No,Yes,Afaan Oromo,Rural,Bad,Yes,medium,Yes,Yes,Higher education,Secondary education,Merchant,Teacher,Supportive,Yes,Never,Occasionally,Occasionally,Occasionally,Often,Medium,High,High,Medium,85-100,3.00-3.49,550-599,3.50- 4.00,Yes,Yes,Never,Sometimes,5_6,Medium,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Secondary education,Secondary education,Health care related,Health care related,Supportive,Yes,Never,Occasionally,Never,Often,Often,Medium,Medium,Medium,Medium,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Sometimes,Usually,3_7,Medium,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Divorced,No,Yes,Afaan Oromo,Urban,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Merchant,Teacher,Friendly,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Never,Very High,Very High,High,High,70-84,3.50- 4.00,450-499,3.00-3.49,Yes,Yes,Sometimes,Sometimes,3_4,Low,High ,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Secondary education,Merchant,Merchant,Competitive,No,Occasionally,Never,Occasionally,Occasionally,Never,Low,Low,Very High,High,70-84,3.50- 4.00,450-499,3.00-3.49,Yes,Yes,Sometimes,Never,3_4,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Usually,No,No,No,No
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Merchant,Merchant,Friendly,Yes,Occasionally,Never,Never,Occasionally,Occasionally,Low,Medium,Medium,Medium,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Never,Sometimes,3_4,Low,Low,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,No,No,Yes,Yes
24 – 29,Male,Single,No,No,Afaan Oromo,Rural,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Low,Medium,Low,85-100,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Never,Always   ,3_4,High ,Medium,Yes,Always   ,No,No,Yes,No,Yes,Sometimes,No,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,No,Yes,Primary education,Higher education,Teacher,Housewife,Friendly,No,Occasionally,Occasionally,Never,Often,Often,Medium,Medium,High,Very High,70-84,3.00-3.49,400-449,3.00-3.49,No,No,Sometimes,Always   ,5_6,Low,Medium,No,Never,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
24 – 29,Male,Single,No,No,Afaan Oromo,Rural,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,No,Occasionally,Often,Often,Occasionally,Never,Low,Medium,High,Low,85-100,3.50- 4.00,450-499,3.00-3.49,No,No,Sometimes,Sometimes,3_4,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,not educated,Not educated,Farmer,Housewife,Friendly,No,Never,Occasionally,Never,Occasionally,Occasionally,Low,Medium,High,Medium,85-100,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Sometimes,Sometimes,1_2,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Rural,Good,Yes,medium,No,Yes,not educated,Not educated,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Occasionally,Never,Occasionally,Medium,Low,Medium,Medium,70-84,3.00-3.49,400-449,2.00-2.49,No,No,Sometimes,Usually,1_2,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Rural,Good,Yes,small,Yes,Yes,Higher education,Higher education,Teacher,Health care related,Friendly,Yes,Never,Never,Never,Occasionally,Often,High,High,High,High,70-84,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Sometimes,Sometimes,3_4,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Teacher,Supportive,Yes,Often,Occasionally,Often,Very often,Very often,Low,Medium,High,High,70-84,2.50-2.99,350-399,2.50-2.99,Yes,No,Never,Always   ,5_6,Low,Medium,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,not educated,Not educated,Farmer,Housewife,Friendly,Yes,Often,Never,Occasionally,Never,Occasionally,Low,Low,Low,Medium,70-84,3.50- 4.00,350-399,2.50-2.99,Yes,Yes,Sometimes,Never,1_2,Low,High ,Yes,Sometimes,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Secondary education,Secondary education,Merchant,Merchant,Friendly,Yes,Occasionally,Never,Occasionally,Often,Never,Low,Medium,Medium,Low,70-84,3.00-3.49,400-449,2.00-2.49,No,No,Never,Sometimes,3_4,Medium,High ,No,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,No,medium,Yes,Yes,Secondary education,Secondary education,Farmer,Housewife,Friendly,Yes,Often,Occasionally,Never,Often,Often,Medium,High,High,Very High,70-84,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Sometimes,Never,3_4,Low,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Merchant,Friendly,Yes,Never,Often,Occasionally,Never,Never,Medium,Low,Medium,Low,70-84,3.00-3.49,450-499,3.50- 4.00,No,No,Never,Sometimes,3_4,High ,High ,No,Usually,No,No,No,Yes,No,Never,Yes,Yes,Yes,Yes
